tags,count,percent,style,global_pct,normalized_frequency,relative_frequency,cluster_id,size
Intuitive,766,39.9,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",21.94,0.2904269081500646,1.818596171376481,Cluster_2,0.1993148551853005
Inwardly Inspired,892,46.46,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",28.04,0.24724832214765102,1.6569186875891584,Cluster_2,0.1993148551853005
Controlled Chaos,874,45.52,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",27.51,0.2466109817883062,1.6546710287168303,Cluster_2,0.1993148551853005
Fast Paced,729,37.97,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",22.95,0.2465528562048588,1.6544662309368192,Cluster_2,0.1993148551853005
Multitasker,1162,60.52,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",37.44,0.23560636994691714,1.6164529914529917,Cluster_2,0.1993148551853005
Internally Motivated,1236,64.38,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",40.76,0.22465284382727793,1.5794896957801765,Cluster_2,0.1993148551853005
Stifled By Constraints,1271,66.2,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",42.89,0.2136767806398387,1.5434833294474237,Cluster_2,0.1993148551853005
Risk Friendly,1306,68.02,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",44.46,0.20945945945945943,1.5299145299145298,Cluster_2,0.1993148551853005
Let It Happen,1128,58.75,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",38.98,0.2022920290596542,1.5071831708568497,Cluster_2,0.1993148551853005
Noise/Music,816,42.5,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",28.25,0.20141342756183744,1.5044247787610618,Cluster_2,0.1993148551853005
Novelty Seeker,1376,71.67,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",48.23,0.1954962468723937,1.4860045614762598,Cluster_2,0.1993148551853005
Collaborator,1178,65.01,"Collaborator, Risk Friendly, Multitasker, Reframer, Kinetic",29.73,0.3723875870804306,2.1866801210898084,Cluster_3,0.1881033945811274
Multitasker,1203,66.39,"Collaborator, Risk Friendly, Multitasker, Reframer, Kinetic",37.44,0.27882114995665996,1.7732371794871795,Cluster_3,0.1881033945811274
Self-Assured,542,29.91,"Collaborator, Risk Friendly, Multitasker, Reframer, Kinetic",17.4,0.264426125554851,1.7189655172413794,Cluster_3,0.1881033945811274
Early Bird,596,32.89,"Collaborator, Risk Friendly, Multitasker, Reframer, Kinetic",19.34,0.2594294466781543,1.7006204756980352,Cluster_3,0.1881033945811274
Kinetic,1015,56.02,"Collaborator, Risk Friendly, Multitasker, Reframer, Kinetic",33.55,0.2508652450597299,1.6697466467958273,Cluster_3,0.1881033945811274
Public,404,22.3,"Collaborator, Risk Friendly, Multitasker, Reframer, Kinetic",13.86,0.23340707964601776,1.6089466089466091,Cluster_3,0.1881033945811274
Risk Friendly,1281,70.7,"Collaborator, Risk Friendly, Multitasker, Reframer, Kinetic",44.46,0.22785689475512333,1.5901934322986955,Cluster_3,0.1881033945811274
Fast Paced,646,35.65,"Collaborator, Risk Friendly, Multitasker, Reframer, Kinetic",22.95,0.2167235494880546,1.5533769063180827,Cluster_3,0.1881033945811274
Reframer,1134,62.58,"Collaborator, Risk Friendly, Multitasker, Reframer, Kinetic",44.89,0.1646040755559691,1.3940744040989084,Cluster_3,0.1881033945811274
Monotasker,822,61.07,"Novelty Seeker, Monotasker, Stifled By Constraints, Silence, Hate Distractions",36.03,0.25787847579814627,1.6949764085484318,Cluster_4,0.1397280182705284
Nature,615,45.69,"Novelty Seeker, Monotasker, Stifled By Constraints, Silence, Hate Distractions",27.88,0.24208237053146664,1.638809182209469,Cluster_4,0.1397280182705284
Novelty Seeker,931,69.17,"Novelty Seeker, Monotasker, Stifled By Constraints, Silence, Hate Distractions",48.23,0.17836456558773428,1.4341696039809249,Cluster_4,0.1397280182705284
Stifled By Constraints,818,60.77,"Novelty Seeker, Monotasker, Stifled By Constraints, Silence, Hate Distractions",42.89,0.17248697665444726,1.416880391699697,Cluster_4,0.1397280182705284
Hate Distractions,814,60.48,"Novelty Seeker, Monotasker, Stifled By Constraints, Silence, Hate Distractions",47.74,0.11772315653298832,1.2668621700879765,Cluster_4,0.1397280182705284
Public,333,33.74,"Novelty Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",13.86,0.4176470588235294,2.4343434343434347,Cluster_5,0.1024602927436936
Love Distractions,415,42.05,"Novelty Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",22.19,0.3091531755915317,1.8949977467327623,Cluster_5,0.1024602927436936
Noise/Music,508,51.47,"Novelty Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",28.25,0.29126944305067737,1.8219469026548671,Cluster_5,0.1024602927436936
Externally Motivated,597,60.49,"Novelty Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",33.47,0.2875691783737761,1.8072901105467585,Cluster_5,0.1024602927436936
Collaborator,526,53.29,"Novelty Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",29.73,0.28378703926764637,1.7924655230406996,Cluster_5,0.1024602927436936
Stimulated By Constraints,499,50.56,"Novelty Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",30.57,0.24639467521262176,1.6539090611710827,Cluster_5,0.1024602927436936
Outwardly Inspired,627,63.53,"Novelty Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",40.63,0.21985407066052226,1.563622938715235,Cluster_5,0.1024602927436936
Novelty Seeker,727,73.66,"Novelty Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",48.23,0.20863073262777918,1.5272651876425463,Cluster_5,0.1024602927436936
Routine Seeker,556,58.77,"Routine Seeker, Private, Internally Motivated, Solo Creator, Inwardly Inspired",29.61,0.32993890020366606,1.9848024316109425,Cluster_6,0.09820409010692412
Inwardly Inspired,462,48.84,"Routine Seeker, Private, Internally Motivated, Solo Creator, Inwardly Inspired",28.04,0.27055150884495327,1.7417974322396579,Cluster_6,0.09820409010692412
Internally Motivated,598,63.21,"Routine Seeker, Private, Internally Motivated, Solo Creator, Inwardly Inspired",40.76,0.21592767144368571,1.550785083415113,Cluster_6,0.09820409010692412
Private,622,65.75,"Routine Seeker, Private, Internally Motivated, Solo Creator, Inwardly Inspired",45.33,0.1838314728123875,1.4504742995808515,Cluster_6,0.09820409010692412
Solo Creator,601,63.53,"Routine Seeker, Private, Internally Motivated, Solo Creator, Inwardly Inspired",46.83,0.15132294309532443,1.3566090113175315,Cluster_6,0.09820409010692412
NonKinetic,161,39.36,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",20.16,0.3225806451612903,1.9523809523809523,Cluster_7,0.04245821654728537
Specialist,116,28.36,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",15.75,0.2858762185445477,1.8006349206349206,Cluster_7,0.04245821654728537
Tenacious,200,48.9,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",29.03,0.2549724111382009,1.6844643472270064,Cluster_7,0.04245821654728537
Make It Happen,202,49.39,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",29.37,0.2541899441340782,1.6816479400749063,Cluster_7,0.04245821654728537
Risk Averse,223,54.52,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",33.27,0.24205490374757943,1.6387135557559362,Cluster_7,0.04245821654728537
Urban,144,35.21,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",22.06,0.2296141086083465,1.5961015412511335,Cluster_7,0.04245821654728537
Internally Motivated,248,60.64,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",40.76,0.1960552268244576,1.4877330716388617,Cluster_7,0.04245821654728537
Stifled By Constraints,260,63.57,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",42.89,0.19425136201390192,1.4821636745162041,Cluster_7,0.04245821654728537
Night Owl,246,60.15,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",43.32,0.16265584227312263,1.3885041551246537,Cluster_7,0.04245821654728537
Solo Creator,258,63.08,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",46.83,0.1478482394686562,1.3469997864616698,Cluster_7,0.04245821654728537
Intuitive,189,9.22,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",21.94,-0.40821566110397944,0.4202370100273473,Cluster_1,0.2128101318384719
Love Distractions,178,8.68,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",22.19,-0.4376417233560091,0.39116719242902204,Cluster_1,0.2128101318384719
Fast Paced,170,8.29,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",22.95,-0.4692701664532651,0.3612200435729847,Cluster_1,0.2128101318384719
Early Bird,180,9.38,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",19.34,-0.3467966573816156,0.485005170630817,Cluster_2,0.1993148551853005
Specialist,120,6.25,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",15.75,-0.4318181818181818,0.3968253968253968,Cluster_2,0.1993148551853005
Rational,176,9.17,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",26.13,-0.48045325779036835,0.350937619594336,Cluster_2,0.1993148551853005
Routine Seeker,175,9.11,"Novelty Seeker, Risk Friendly, Stifled By Constraints, Internally Motivated, Multitasker",29.61,-0.5294421487603306,0.30766632894292467,Cluster_2,0.1993148551853005
Specialist,117,6.46,"Collaborator, Risk Friendly, Multitasker, Reframer, Kinetic",15.75,-0.4182800540297163,0.41015873015873017,Cluster_3,0.1881033945811274
NonKinetic,129,7.12,"Collaborator, Risk Friendly, Multitasker, Reframer, Kinetic",20.16,-0.47800586510263926,0.3531746031746032,Cluster_3,0.1881033945811274
Love Distractions,132,9.81,"Novelty Seeker, Monotasker, Stifled By Constraints, Silence, Hate Distractions",22.19,-0.386875,0.44209103199639477,Cluster_4,0.1397280182705284
Urban,112,8.32,"Novelty Seeker, Monotasker, Stifled By Constraints, Silence, Hate Distractions",22.06,-0.4522712310730744,0.37715321849501365,Cluster_4,0.1397280182705284
Routine Seeker,125,9.29,"Novelty Seeker, Monotasker, Stifled By Constraints, Silence, Hate Distractions",29.61,-0.5223650385604114,0.3137453562985478,Cluster_4,0.1397280182705284
Multitasker,124,9.21,"Novelty Seeker, Monotasker, Stifled By Constraints, Silence, Hate Distractions",37.44,-0.605144694533762,0.24599358974358979,Cluster_4,0.1397280182705284
Intuitive,89,9.02,"Novelty Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",21.94,-0.41731266149870805,0.4111212397447584,Cluster_5,0.1024602927436936
Routine Seeker,89,9.02,"Novelty Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",29.61,-0.5330054361894901,0.30462681526511315,Cluster_5,0.1024602927436936
Public,44,4.65,"Routine Seeker, Private, Internally Motivated, Solo Creator, Inwardly Inspired",13.86,-0.4975688816855754,0.3354978354978355,Cluster_6,0.09820409010692412
Externally Motivated,86,9.09,"Routine Seeker, Private, Internally Motivated, Solo Creator, Inwardly Inspired",33.47,-0.5728383458646616,0.27158649536898716,Cluster_6,0.09820409010692412
Novelty Seeker,82,8.67,"Routine Seeker, Private, Internally Motivated, Solo Creator, Inwardly Inspired",48.23,-0.6952548330404217,0.17976363259382128,Cluster_6,0.09820409010692412
Intuitive,37,9.05,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",21.94,-0.41594062600838977,0.41248860528714676,Cluster_7,0.04245821654728537
Fast Paced,31,7.58,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",22.95,-0.503439240091713,0.3302832244008715,Cluster_7,0.04245821654728537
Stimulated By Constraints,34,8.31,"Stifled By Constraints, Internally Motivated, Solo Creator, Night Owl, Risk Averse",30.57,-0.5725308641975307,0.2718351324828263,Cluster_7,0.04245821654728537
